videoid,duration
bD8bl3omDIU,149.0
88dS92rgWhA,145.0
i3jmM-Fc5Nk,141.0
xMOzBw0mrcc,253.0
MGBHNeYbsbg,157.0
MVY7ci-BTI4,176.0
5EN8IHljaaE,161.0
sTbJQwezQZY,144.0
JpdTx3k0VoQ,159.0
wZheb1gbe58,81.0
PFbxA5HjwyQ,195.0
EKLCchi0iCI,129.0
08cPFt1GzBs,143.0
jtQcr7lJXB0,157.0
Gnpxe9kO_V8,184.0
ioQQ3gbY0vY,109.0
vm-rgqRKqz8,142.0
IwcQ6LDdW9Q,159.0
hp3HX9PAkcA,196.0
U97UagTDW_0,166.0
mwAlagYhRV8,209.0
kzf7hr9O00k,173.0
K-xthcJWXn0,121.0
YlRLfbONYgM,157.0
65N3OBBrImc,162.0
5y_SbnPx_cE,88.0
hlWL5Az4pow,210.0
UC2zyr54O2w,141.0
UuVuFO1cCFE,140.0
F7SNEdjftno,95.0
cJeYngoI1oA,160.0
wNqqn5NPJ8k,80.0
dbX-ekoWGWE,144.0
Xf_j-iNi9CA,69.0
6H72hXsLZ8k,171.0
OA1pcNFRhXY,182.0
tV7wQ19UBqg,264.0
YP2dblWITA0,163.0
U3qhoY13AkM,161.0
D4TfTzW8GVg,163.0
4hAjAP6kPg4,199.0
9N9BwAElBiA,162.0
a38HZFbhB-M,158.0
yNDm5IA6nQQ,157.0
3orSzPUIVJw,103.0
188YJIcBUkQ,148.0
iMA4bMMh44w,122.0
ClOGZ8IiO90,182.0
6_Onrl4g6H4,201.0
_WzzevY4_Ys,174.0
ikqDLmNc678,195.0
4UzVKW_Iqi0,142.0
PlGtHAZOWbo,159.0
jPH8I5QWFUU,177.0
LYtSsBCYByk,132.0
7U3F1uDBXrw,54.0
wOp2t0IKnUo,136.0
VC0uIqac2A4,95.0
OGpGO7K3aBo,140.0
fyuoIqeL-bc,180.0
4OW7CMS8PBQ,130.0
Lmsukmz3QQE,94.0
MLkaLveElpM,156.0
wXf_eaQcSdM,160.0
34Rit1AnlVg,89.0
FpekkNyDPcc,213.0
spbfax8dOTk,125.0
u8QMY9JKlDk,128.0
73Pm3rkTzb0,162.0
UNlo03HucLM,153.0
aTSa6E4_Zgs,172.0
OJNBsuHFdM4,208.0
gv1nYk_OJjs,153.0
tvKzyYy6qvY,140.0
XGoagkYcJ38,145.0
qs0J2F3ErMc,163.0
Mlfn5n-E2WE,127.0
NXH48hZ6798,192.0
c0XTkj3PIWg,146.0
9IMNpGeSLT0,163.0
MFmLZibi7DE,190.0
2Y_CzHI89mQ,182.0
2t2iFLshgWQ,142.0
73ZsDdK0sTI,107.0
1O7AX7tqEHE,210.0
E0og5D_sPpM,144.0
IPPeDiU4Vdo,205.0
Kyh3foJVk2k,187.0
nDGZMXNYfF4,163.0
nzjEYhUtRGc,162.0
Ur4Pg0Jyph0,163.0
p890hIa1w9k,155.0
WwDJZhI5IRM,141.0
MBYRmSeYB4A,157.0
0-EcLwovpbU,163.0
BxIcBWi4ETk,164.0
HTFjrXA8bFI,125.0
6JTplpmC6AA,145.0
D6XNq3CrDBU,184.0
ZSFCW8cDIU8,105.0
ba9YG9xCC7A,187.0
1EtA0HrUrYM,127.0
esg4w4b2xvc,133.0
LwbFwVf8yoE,204.0
Y1IEtzj23ws,210.0
hAoYV0HwjDo,102.0
4otU-hfAOO0,111.0
_W5MVZjoNwc,162.0
Z0W6ufDtdS8,153.0
Y0IXtktHTgk,127.0
AmCR7Owu6R8,142.0
tAOaV-CCaxQ,180.0
5ke6m-Y8DHE,137.0
PrjcxNpxOos,104.0
edgiUq5ymRE,205.0
lQhQeus0ItY,120.0
LZDir3e680o,163.0
NWsc8gC3nSw,74.0
3rpHa7RLvc8,155.0
zE2-th0lNbg,162.0
s9k-uO50300,178.0
dXk2wGeBUHE,191.0
PjYVxXOmsrc,147.0
KuXeOs4oOBw,157.0
OroiRWIR2gQ,205.0
a3HOCIXroqQ,143.0
4HB9b-ttI3I,162.0
9iPH8MXkPEE,239.0
mVqKHUtKh8Y,98.0
kGVQE0m_V3A,153.0
WquPun-ky2Y,114.0
93njceSaOMM,162.0
-qdHE9-8spU,163.0
d8Gg9rPHKNU,114.0
ZGcMRCaBh_s,161.0
4nEsHsxsjew,153.0
r0-vDDcDUMo,163.0
h7wEE6Yx7IQ,158.0
aF4En8CIaNk,66.0
ZQHhiZUNM3Q,208.0
l53Q1UXk2DE,206.0
gPbbYHumGuE,163.0
AQaOCIrb9Fs,152.0
CwLcHWwjkV4,240.0
2xUynRdzzsM,153.0
FboJePoCAb8,153.0
303wyvo5Uow,154.0
Ovloa5lv7io,163.0
1M00J5Q1Vv8,190.0
rxGCtPQJitc,148.0
k5fJmkv02is,215.0
bSE3gq6Sf6Y,129.0
Sb8ufI6z0zM,163.0
Mr8aBk7ub2g,130.0
rcA0MBnPPM8,106.0
TgIB5Yl4sBQ,163.0
1tYwDHxg60g,148.0
6lGs-tXWpR4,85.0
Z4G5St8apOQ,208.0
DZqOhS2M-DU,152.0
dKPw9-jpA3Y,171.0
cXlRo6pJ9ig,164.0
FDwpGLz3Mr8,183.0
8_mRYeBdwcc,148.0
pN7yX45G6WA,182.0
y1tx1hn8Pwo,71.0
7uOhTRONUbY,183.0
LrsnIyCjvB8,206.0
-hqNz9Ve-Hs,88.0
FSlLXYohrJg,134.0
uopoXtR0Kjk,161.0
E1I0hAxGFXw,157.0
3gSOZW-vNFk,166.0
fO8-yVmcQCo,238.0
cmlELkvVPeQ,180.0
grEV7MeCTsg,211.0
MmBx8AMHTxE,208.0
cgLMSMIU124,141.0
cPooLABE6Js,143.0
DzQjdpw73ZY,125.0
LvtFcK8BaY8,154.0
iE9CEAzLPKg,143.0
15WevUMiJI8,193.0
sKrpl-KBTzQ,119.0
p9W9PhaNGOY,115.0
VhYxVXimdIw,143.0
d-ZaywYsJk0,138.0
5hhPpHMM9W0,166.0
PBBZHnc8Jxk,129.0
BH-EprDz8wI,136.0
aOX72bZr_LA,212.0
jv2MsLBMi9U,141.0
B1QVeR_p7WQ,140.0
8I_QMs_Mjb0,129.0
RlphfLO3MYA,109.0
fmRWWrBqiJE,188.0
TBiqsgxbxLA,84.0
WOjsnY1P7lk,191.0
PpxLYsi1Yk4,126.0
gHWnmlpmub4,151.0
TfGmV-el44k,156.0
9t8iEpdabms,180.0
iHWOj17ISfk,163.0
Mm9Y9JEmekY,126.0
enG1CfTbT08,148.0
qz0rKdYiqDQ,188.0
S3Po0Tld8Po,214.0
BVrZAIo3wX4,165.0
jz4VT9zHLTU,57.0
L5Yu-IGx0-4,203.0
jMAy36cl6w8,116.0
UzTveNwweRM,149.0
bR2Uon5BWC0,163.0
fCjsUxbNmIs,176.0
Dys_AAhlGqU,144.0
B3fgBOG1fWs,135.0
d7pioagkX5k,126.0
AzGePmv0GD8,144.0
eGLC0vhemeA,185.0
WncnbHD-JXI,122.0
jVxyX7FcS4Q,139.0
DMeR-bkC13g,160.0
YkYypI0-OAY,205.0
XBJSfGM5dGY,164.0
eidUCFud7YM,24.0
g-gebDSBFkY,147.0
bJNpX5bfXcw,162.0
bXt-KqvrSh0,75.0
UZ2IjJCsxxo,150.0
lfUlATBIer8,144.0
6BGmQ21EekY,162.0
7hKcWzt4rBA,102.0
rwwMn3Y6rUA,160.0
5JLr0XUrEF0,160.0
4t7GADjRIuA,210.0
rMdZw9aBmnY,163.0
ZDyEERuK31Y,157.0
_UvKhc0wVU8,144.0
YkpHalgTqpw,159.0
e-6fZ7wiPQk,185.0
HN-YqWQ3PEE,163.0
5mEsXz-Bpog,208.0
JLvkvjU_iyY,130.0
HzAzwbkW7tw,117.0
4Spw9eH9GBk,153.0
zGrIGZifpwg,81.0
kYlPBN4yMe0,202.0
GYh7IHTeLus,144.0
o_vwPlWTrgo,177.0
9L-HJ7BVR6A,264.0
Y4_1X9cpFWI,162.0
fo0KBFhChFU,194.0
TsIQj8gZeo0,96.0
LVm_DbyklO0,136.0
pLooDtjrhv8,197.0
YOkboxqOKBA,132.0
H1rttoUCeUg,180.0
ykeqEK7m5oI,223.0
V5hfxgrLuoU,109.0
yIzzVRK8u9A,51.0
QyeYgwO4ADg,162.0
uDffmOSVnBM,202.0
GzMBisWrn_M,211.0
j1q-QWHUU0g,180.0
LGmthB51XUc,131.0
jLo7tHDHgOc,101.0
BjCjlMXLVtw,140.0
VWb1z6ZwUoY,127.0
fpXngRB-VTw,85.0
c6XHLe94SJA,162.0
tNvDa9kTDUw,75.0
CdUzUdaC8tI,125.0
DgpMTfkui0w,162.0
WBreuW9LLSw,145.0
u6IAct0ow4c,157.0
fnN-1q7Xgq8,140.0
4pHgq_uwXjs,207.0
u6HHla9ApmI,152.0
KekChFdIe00,207.0
CAeFPZ-yXYM,205.0
vIaVITC62Cs,128.0
-wSqiksvdD8,172.0
LbMpSo9yvZo,156.0
2rSSxAdDhuU,107.0
8iQKnefUJNg,155.0
dwK_rODYMrY,190.0
gWyMDfvXfhI,51.0
HQCava8QqK8,150.0
uqS2-v7iZr8,147.0
apo0KrJVXMk,131.0
9n27j_fe1yE,49.0
QDroSLQiSRI,163.0
0AslM2bC5DY,155.0
Cp2KrXtWwAA,151.0
t4U-Q2nd6u4,140.0
Q85twbu-Vvk,193.0
LHtgKIFoQfE,163.0
dRTKQQtFoRU,163.0
ai1wUoboyNM,162.0
d6HReoQl6Mo,224.0
ccU8NJFeBSA,150.0
nB9rg6sxHhU,265.0
Z1bYkHffGXI,127.0
UkZVQNNzUAA,120.0
NAEDVsrKk5s,144.0
d5TglK8v1xs,117.0
RN7YPq8i4w0,72.0
vOfFVhSiwiA,202.0
W18J6bcq9YI,173.0
uzMEc37DGZA,133.0
UpgP8aA8ABE,177.0
Cgd47hmpvE8,140.0
u-pvs7gVNHo,187.0
NI4En1gLsXs,163.0
5asGTRoIqCw,107.0
v-OP9DnMN-w,162.0
Q49KVa7jotI,165.0
arsAllZIa1Y,201.0
elcYyXvJF7U,162.0
B6E_rp80QMc,66.0
SWKDbfvyZMU,176.0
nxTEOyfchP8,139.0
Rfl2M8B9WA8,172.0
1_vxyocjxg0,170.0
3wqXNKYn-fQ,183.0
Fb1v9LGaZ1w,179.0
zXF0zcwPGuI,170.0
vjmHq57MZso,209.0
JRLNdcmRcFY,133.0
L-xNqfIXuaM,128.0
Pku1UxtmkLM,92.0
a46FsHMRPkc,160.0
5mbqW5rZaCI,145.0
UtRR6sLexR8,154.0
3l7-8yvdTLE,138.0
IXwwGEJkx8Y,156.0
oBURpv30IkA,132.0
1daKtciMLiE,154.0
gcPY3RIvtCw,251.0
YYZSg-BBAmw,97.0
DDueSsFUqc4,162.0
XqmCa8WjX5Q,162.0
nXJxxahiC3A,162.0
XFC2o44koIA,156.0
BgxPmLpvxzc,158.0
VohdBtnMchg,84.0
f9_akBxA4mU,138.0
q38QzB5dw0A,193.0
ZKIiHz62TR0,121.0
XObhhoFp6G8,113.0
jO0rQxUv0iY,202.0
PrzgybNYBs8,133.0
m3XsVwEuULw,158.0
bIpQoVucszI,171.0
FUbC8WBChng,139.0
STfoetR9Su8,143.0
U-XEvzDp70Y,161.0
TGghm3K1NXQ,172.0
1QJXKLwmN14,159.0
69vn_WxKBUs,184.0
jcTv-BEwabk,160.0
roST4TM0ccM,206.0
df2QdWqKC6Q,206.0
aIau-DQHI3Y,161.0
Q6luiTx1pM8,205.0
_pin0H9Udho,180.0
kCtsoBRr1Z0,116.0
-zAp8NOpVKU,162.0
1CKEXvHN9es,153.0
rgQjzIVzoh4,148.0
AZ2EPeq1TK0,59.0
sB2p71-giQM,147.0
pFXW-7VNngk,195.0
1ugiiAH40_w,158.0
QAztYUCEhzk,138.0
u1MRGbWEI9M,143.0
XLONuxY4fvY,234.0
1vhyMvNS3Ek,201.0
P-sWReV2DDQ,153.0
NzfSLgWkTlY,209.0
wfAfwKUkfHU,207.0
weTmdGoN_SQ,141.0
l94geYuwNJg,63.0
uU6LIbi7NZQ,96.0
BPuGsFSTy0Y,173.0
wrRy2TR4WtM,138.0
MpXp07KfSFI,163.0
C_TfdNAXOwE,289.0
tlSZa51g_rc,155.0
QQFxcGwtEBY,176.0
zm7wCb8IXx4,160.0
UgFBbUinHSw,73.0
muVopS3Yn7s,166.0
456l6TpeE1E,122.0
LxAebgxJHyg,154.0
5gtFQegr2xA,202.0
KrDck8ocFu0,163.0
vqOByzMoS_A,192.0
lcns0VMck7s,101.0
bX6BKxFkU78,133.0
oWr69u4tLoc,102.0
h44egWnbrrg,107.0
JPtEnl6MpHU,131.0
JzJ0EVqZAzU,96.0
8kIsYLV8bE8,159.0
6KYxDFGC2hE,162.0
X_VSJfHiNPA,208.0
ulMNuwN1C-8,183.0
adjuOPzkpw4,223.0
Hhep61HLkIA,150.0
Ce0zSR2ParE,111.0
vsBwRV2b3LY,123.0
Yky4QtRX_DI,207.0
-4Q-MS_oFkw,158.0
5iyXb_jNvgc,108.0
eXVVSJUhDmo,184.0
qXL3aXIGIKc,100.0
mXp99jJtyII,148.0
JyQczb2eCf8,157.0
g_O0J66490k,207.0
yvzmLB30MwM,203.0
9hCHM2Oj1wQ,108.0
M7iC24MaxxI,150.0
OWXlfOnU6tc,136.0
Ap8p92HCAbg,157.0
JzVCSXWeNnA,110.0
dSRxB66FLV4,84.0
OxLmmTv6CTs,188.0
0p9yD4E2hQw,156.0
ct-PElgfWJY,209.0
0wTKzzRtGqY,156.0
SrvRkUwIFfk,193.0
n9uVWlO0GAs,97.0
ElvTXO2A3Uw,184.0
ZtHl67Oeb5I,118.0
sWjVe9dMRHU,236.0
gzRy-pvwdL0,160.0
ulALOA2LeNw,192.0
DE71sZbjvbs,128.0
fLWjUBClszw,228.0
hR1XzVQnfqY,163.0
nBRbD7RKrK0,138.0
tDWQvA6IhG8,116.0
aFnS18LM8Ws,196.0
XDlC8NyBBro,209.0
JsJxIoFu2wo,163.0
hV55sjy1QFI,189.0
zzjFcjSFoqs,163.0
LBBni_-tMNs,146.0
Kocw_F48CGw,160.0
9fUtcVIlocI,164.0
uOHMPcGgInI,195.0
qokWn0jfbM4,159.0
oNpeuCWJgCc,135.0
3tMHSQGSUzc,154.0
mpG7K909Gi4,176.0
ygU2QenlIvU,148.0
j_z70ZaqWUE,130.0
f8znwPYsuFE,150.0
urWMTYuDxME,163.0
czBTbtS1YpE,141.0
n3D3JTzaiwA,148.0
Mkn0Iji6g9w,144.0
34bCs92ACpk,143.0
rGvIBT10JDU,129.0
BgCgiRitEmM,160.0
kytDzjuBGJI,163.0
AO_944kf0RA,157.0
nrqxmQr-uto,156.0
NGkLen8TbHc,103.0
vfc3TGvcjEY,235.0
HIBYaeYQF0k,137.0
MCJcxb_RtII,237.0
X115jd2e6e8,147.0
hH3peh07eq4,163.0
WBxpXxZqKms,163.0
j-OcaLECz1k,104.0
PHj4OVnU6EY,121.0
2bujRZhOt9w,155.0
-v_2hFPseDg,165.0
jcNFjpxU0E8,170.0
dshmyllg2HE,199.0
acs2qgkCHvw,113.0
xJb5tOlE1Fs,157.0
QGNfrNJZin4,122.0
AFk0BnxndMA,132.0
EdiZzm9bA2I,94.0
_B6AZdgQbeU,152.0
DVA8vzEbm9Y,179.0
7ux7Dd18Rw4,163.0
wHfXZ9jcX3A,219.0
I0EUKDhQ7vk,215.0
sPS0cKOGZO0,110.0
gJCMd15eaW8,159.0
7EmNSHq1mh0,162.0
LiYdMadk89Q,155.0
nJ04J0TWD1I,150.0
IOmR8ZCYhzc,161.0
-9DrPi3ki0g,108.0
EdN4MiVmI74,191.0
cE2bc0vU9pg,171.0
exE414Mp-gA,134.0
1PoAz1WNBdM,163.0
NaKBQWLRJqw,161.0
GiOE_3Smoqw,60.0
xEAsC8A1Ins,195.0
pB-bN-RkJLM,121.0
H843vNJgIaQ,266.0
gMdTl2R354A,260.0
-rebHHoZJSM,135.0
ENC7ueK93Ow,182.0
kiEe33aAucU,101.0
a3GgzkKvBVY,124.0
LLjiVwzeDb0,160.0
zWW_SH8IFnI,167.0
NZxjmhwogCk,112.0
tEs0OuspG4w,169.0
kpFSJhQ_30c,174.0
x2yXtHyhu-k,161.0
fFUR02kaGTQ,144.0
jK0s7zfdDOc,125.0
v7FL42Fon3g,163.0
Ed5xIjGdqb4,211.0
yvtb9A9ai9Q,183.0
BSRrzrQtmto,78.0
mcUWG23hqvw,192.0
M5F8dw_FfPc,179.0
DLuROR8kLy8,148.0
aG3Oc5TNd-Y,163.0
yVlOitZ19Wc,101.0
RY1FQGd1Bb4,146.0
CNH4A1sI_oE,93.0
7TBwFfjXd3s,106.0
AD3baa_nijI,210.0
a7XZaIy4a9k,112.0
R5a3sZiNuu4,211.0
w5yJV_TKOWg,134.0
WThmGeHf4hA,74.0
9-DOuX-Pi6o,163.0
BICqcEvzhVw,143.0
iM0hP-LZIvI,143.0
BiQ0NRRraIc,81.0
_LzgxVd1wF8,178.0
wDFOO-dC-Nw,178.0
t-T4RYRUNWk,161.0
U15kcueM3Og,146.0
LDnFpgimHH4,160.0
V65b70nPU7k,145.0
uNJPSc_4RCI,155.0
W3x0ZxDSF38,144.0
sGPeVmnAFAI,103.0
2altG6wElVE,93.0
jKC6UsetwN4,143.0
AHjOZLikqoM,225.0
1nLc8ZZUKCg,163.0
wEzZX_MFu4w,116.0
awuqJuO5WOc,172.0
I9mJ2oBONug,161.0
fwkzz6A_Qv4,149.0
3tXDymBcnJY,158.0
E-EDJ6Z8mS8,136.0
KPxDoFbsvWA,163.0
XS4s3XXNLiE,163.0
c7-u-fyUSkM,138.0
jn8SVc374U0,163.0
BGX4nMrnxg0,141.0
t7LH7bMQgDM,189.0
8osP7KRacWk,186.0
GvZLaCfU4PA,97.0
Rz0JV0WUjPo,152.0
5dxhOkrjfuA,149.0
fEocj1eLsmg,194.0
sXnYoBCJGwI,178.0
WfCufFRo-hU,135.0
q2pzOimT9so,178.0
fvHgXzOY12Y,159.0
4WNfrd5hsdI,69.0
nUpmxMzBCjk,139.0
1VEcaRh4c1A,119.0
3puiKNZf73o,159.0
FaSlQP79M-M,157.0
N9v6VJLZ8_I,187.0
22aRiNlHhaI,160.0
ODeWs0Eu8n0,191.0
nYb42fv8pMU,100.0
cwprGyncs0A,161.0
xjAHbBY-UUM,196.0
uF7ftHMCN1w,178.0
aUAVPdrvwoA,141.0
UgxCAQEI16o,163.0
dp4qnnVSk8Y,137.0
y-qCvfXMTlg,116.0
vKePn-57zAA,268.0
e7dbge0Zk5A,163.0
hhRIhD6BvMo,193.0
0A0VANPUG-g,162.0
XufQB4gbjdA,181.0
HOpLncx62oY,182.0
Eu1EfSDUKFg,167.0
l1NB8NQc7wU,128.0
IelhpK-eDh0,207.0
gnWkYf8Peo8,205.0
rS-P78D5US4,150.0
pX0LbjUM5Uo,86.0
9GxFab5uMPc,128.0
gmnU4tK8GOo,209.0
Xwob-vrMkz0,126.0
Cd1Q6LsOR8o,138.0
w8O0iiBrIzM,138.0
5XP3MonWebI,160.0
6n99ZpSgKg4,134.0
bKy6BtAbTU8,210.0
yKw8Cw13NmY,152.0
U0s0czlJ4xA,144.0
QtrJ6ojRtik,157.0
ywcKkb5buJI,141.0
xmzkZ12GMAs,188.0
4V4jhMSJRW8,207.0
JwfDV_Y54fA,161.0
uAjGtAOqMQw,140.0
W_7_2Uwl2uc,54.0
1DvFzLRPc_w,101.0
Rq-hSPn_Elc,158.0
01RWw-3AKaE,149.0
VqL0Mr9uNL8,144.0
wIrUoTYd9hA,138.0
7NMQnDrBp60,201.0
vZyIBlDO-E8,170.0
ttU5gs0lj38,213.0
AU-paVv6zTk,178.0
3lkG_MD7T9U,161.0
IqycJpRdVaY,128.0
Z0Fm3Ym-aJM,100.0
VwlkxIN9tfQ,145.0
kR8Xje2x0sA,143.0
qULQCbfqJm8,176.0
IfwHIwPbHaI,162.0
kxu97nWDapM,163.0
LVC2uynUn8c,162.0
nr7ui14-O_Q,160.0
_Nd7VxsQIGo,144.0
8sURhgulh7E,177.0
8ZezvNWgi4M,172.0
Ow8mG8qutkw,121.0
SPrK-BvZA9E,162.0
C2KN6BHuPWA,144.0
nV9U23YXgiY,162.0
GP8HnRCjLGg,136.0
YBc362_R2pw,200.0
1IctSkdJICI,161.0
Hl1mw0-APy8,190.0
6-L8WG51noY,95.0
Ts8WRHAQvk4,203.0
9P-MtbTe3O4,152.0
YzCruCXU8Xc,190.0
K_LGi3aiF7E,195.0
MhS1b56Koxc,105.0
WFdOIU2jKpo,186.0
oDcNKpBgd_0,209.0
1TqRcAl_928,211.0
4SPwmO5wHjM,141.0
BjMrxHxraio,163.0
61cBscxr69E,213.0
8G40_afpkGA,162.0
yooamJf-T_8,59.0
HOldh4ePgnA,162.0
OF-QIOuucVk,114.0
rQABiLDqdVc,141.0
hRa-69uBmIw,154.0
n7KKfjFRw8w,149.0
0x6LPfRGAL8,159.0
p8lLNtyeSz4,162.0
2K-ihnb5kho,160.0
YMhAvAFZ8js,160.0
DUJHFbmzhtQ,145.0
6NbgGhD4tdk,120.0
pfLTbzU0FXo,155.0
HPeiybjTy3E,100.0
DvS7X6Zik1c,152.0
kYlPy24WJzU,158.0
pHvNvYijtBU,135.0
vrVDJcw40BU,192.0
BQdE0_Hy10M,162.0
-vT2ztIXioo,140.0
Ofkb_7EnunM,175.0
XCJxGxYDjQE,200.0
Tpp5oqIzQL4,207.0
_n3aOgYXQ6o,163.0
cbzkmMaYSNg,160.0
uKZQEDh_KAA,159.0
SJZ_LT4GwQE,209.0
2CcanSjYzlM,163.0
lbqDuUjm4aU,161.0
tesqTwX7cpc,163.0
FPtvpjBEEqo,256.0
2FlG1Z6jY-0,188.0
QrmQqEg4isU,148.0
i_9mM4F_JVI,123.0
HG3e03wWQu0,161.0
XHbdoO7uCkk,71.0
P5GNspEWA68,162.0
ZzOzVT2o2BU,163.0
dKoFTEK7O_o,143.0
mpgaMjGOeJg,236.0
KVy9rgFD5js,162.0
vp7r-h8OLm0,111.0
VH6D36VQ_uo,127.0
hW_NzisexqU,171.0
4EWgdeVQzEk,170.0
pgMyGwm-71w,811.0
eLFf1LzuM1Q,157.0
L46syxgju18,157.0
9_VgSGZxWlg,46.0
jT09lgUTdFg,128.0
aKnvOP-1U00,156.0
AhH1Yqw-gmA,209.0
9XvQJ2Jbg8A,147.0
bCBpo6H97oY,146.0
YUSxYNj_kM0,193.0
9HGMxZEl60k,118.0
vEFoOcev00s,184.0
8I5_zsRI4Zo,163.0
jjPq-r91oB4,215.0
JJyK0EX6s_Q,96.0
fuEG_PSb_Ts,174.0
KM9SPmAD6M8,86.0
tHe6ar-X2cQ,146.0
XtL5tGpGIN8,178.0
LEDYzJazfw0,167.0
QnDgw7XXaOU,131.0
Rv6_mS8l48U,163.0
yvD3X3RcK3Y,205.0
vIgFGJRGlkk,142.0
WqWefwlmFmI,158.0
_07OFEHs0iE,154.0
bNg1XX5ofhw,197.0
wqj7Q2jOTc4,80.0
j0c_RQDfjSM,152.0
Dwiczhta4e0,193.0
I4_AaEazcbk,202.0
ZbKU3_H3FVw,209.0
5RmABh8MCpE,80.0
G5nY_snMhic,129.0
Tht98G49dos,177.0
MxDtKTClKGI,162.0
Tvmzk3Ce8-s,176.0
ZmKECCbMc88,151.0
BbjSOt7NxIY,142.0
8rX7fkDLEx0,143.0
aFqlaPLvkw8,195.0
TSPaaPqteCU,153.0
mbzNdI-1iUc,195.0
paHMiEXDMaU,226.0
jn4Vhkmb4Lw,162.0
w78NFd5q_0k,180.0
EOyAHaO7lwA,144.0
PtgGWFzIQq0,163.0
eHpBhm4LMfw,93.0
jsyzJJFZzsg,154.0
R4O0t9jkkUg,163.0
AQpPxTYahZo,153.0
ru_PLKD7w4c,209.0
kd01w5eLVwo,202.0
bBHFfXCAPLc,142.0
Gokkl2br7G8,210.0
u7yQ7qs6Zew,178.0
nhKgGtFIqXY,163.0
F0ga5pmQjnc,149.0
p07sXB8H3zQ,114.0
Q3JqdmUTsLI,135.0
c0JxgKT4jZc,116.0
VKFsmZhQWtg,204.0
3lz4BuydE-Y,113.0
TCrV8NUSTsc,134.0
bBbLZ6m_9MA,163.0
OS0rZQtDsoc,210.0
z3dwJ734jbE,70.0
ctd3NPx1pdM,156.0
v-fwHV86PgY,72.0
gRNkQRhMUiE,128.0
RHmp-rhCrLo,162.0
d3-AXjkz3Pk,146.0
zzgvxdPlUwA,163.0
aDq_JsN2Y6c,126.0
1D8CfzvSy7g,125.0
EHV0zs0kVGg,230.0
8sHaAvi0SJw,163.0
yXcVX57I2JU,165.0
q_215iQ7KDs,205.0
LJY_pChREVY,145.0
BWw0KCLcKHc,158.0
ma_XNn1bwOM,138.0
9CmgJI8aGDg,101.0
pm7LihLP7kQ,217.0
6BS2yXD9Ggo,156.0
k7_V-3ApEiM,191.0
deUroRuOCwM,166.0
ahCOQjOPTZw,187.0
ZWe2pwIiWsk,221.0
5nIwJTUMlE4,140.0
hvvTxyks7L8,136.0
hRBRb2eiK4I,197.0
W03miqzGMcc,119.0
pPZMrs3QGug,155.0
vozjOGBUz2I,163.0
UQzUOKKGfLs,141.0
VQjjlqVjiII,161.0
R4lxBhDtvXQ,250.0
3qMNxVVQhzM,162.0
E49Wkrqw_DQ,105.0
QR6Ds-Tvd1g,123.0
rNPcxSp5a2o,178.0
0ZzNlA9uZ0g,157.0
717gDCZQsdc,164.0
Fyd8tAhnKig,161.0
